on,one,Personne indéfinie
as,ace,"Carte à jouer d ’ une valeur parfois minimale , le plus souvent maximale ."
as,ace,"Personne qui a une supériorité incontestée dans une science , un art , un métier ou un sport ."
as,ace,Monnaie romaine de bronze puis de cuivre dont le poids et la valeur ont varié au cours du temps .
as,ace,"Balle de service réussie , l adversaire n ayant pu la toucher ."
he,her,"Autre orthographe de hè , cinquième lettre de l ’ alphabet hébreu ."
an,year,Temps que met la Terre à accomplir une révolution autour du Soleil et qui se divise en douze mois . Année .
an,year,Le temps qui passe .
an,year,Période de révolution d ’ une autre planète .
are,are,"Unité de mesure de surface de terrains , égale à 100 mètres carrés ."
or,now,Conjonction dont on se sert pour lier un discours à un autre .
but,goal,Au football et différents autres sports Cage dans laquelle on doit mettre la balle pour marquer .
but,goal,par ext Le fait de marquer .
but,goal,Point que l ’ on vise .
but,goal,"boules Petite boule servant de <concept> , lancée en début de mène ."
more,mora,"Unité phonologique de durée ou de poids d ’ une syllabe dans certaines langues , typiquement une voyelle courte ayant une more et une voyelle longue deux mores ."
about,butt,"Extrémité par laquelle une pièce de charpente , de menuiserie ou de métal est assemblée avec une autre ."
about,butt,"Bout par lequel une tringle ou un tirant de fer se joint , se fixe à quelque chose ."
about,butt,Histoire des techniques Base du cylindre qui broie les chiffons pour faire le papier .
part,share,Portion de quelque chose qui se divise entre plusieurs personnes .
part,share,"particulier Action , participation , dans une société commerciale ."
part,share,"Une des choses qui , sans être divisées , peuvent se communiquer à plusieurs personnes ."
part,share,Personne d ’ où vient quelque chose .
won,won,plus courant Unité monétaire de Corée du Sud . ISO 4217 : . Le symbole : .
won,won,Unité monétaire de Corée du Nord . ISO 4217 : .
former,form,Créer en donnant l ’ être et la forme .
former,form,"Produire , constituer ."
former,form,"Se dit de la manière de faire , de composer les mots , ou de les modifier , de les varier ."
former,form,Façonner en donnant une certaine forme ou une certaine figure .
final,final,"Qui finit , qui termine ."
final,final,Qui dure jusqu ’ à la fin .
final,final,Qu ’ on se propose pour but .
if,yew,"Arbre sempervirent de la famille des , à feuilles persistantes longues , étroites , vénéneuses , d ’ un vert très sombre , à fausses baies rouges , utilisé comme arbre d ’ ornement dans les parcs , les jardins , les cimetières ."
if,yew,"spécialement Taxus baccata , l <concept> commun ."
if,yew,art Support de forme triangulaire dont l ’ assemblage imite un if taillé en pyramide .
if,yew,Support dans les églises pour fixer des cierges allumés .
long,long,"Qualifie des objets considérés dans leur dimension d ’ une extrémité à l ’ autre , par opposition à court ."
long,long,Qualifie une surface considérée dans sa plus grande dimension et par opposition à large .
long,long,Qui dure longtemps .
long,long,"particulier Qualifie des ouvrages de l ’ esprit , soit que l ’ on en considère l ’ étendue , soit qu ’ on ait égard au temps nécessaire pour les lire , les réciter , les entendre ."
open,open,Qualifie une compétition ouverte aussi bien aux professionnels qu ’ aux amateurs .
do,do,Philosophie à suivre dans les arts japonais
million,million,"Nom de nombre cardinal . Mille fois mille , 10 6 ."
million,million,"absolument Un <concept> de francs , et à présent , un million d ’ euros ."
million,million,au pluriel Grande richesse .
million,million,"Un nombre indéfini , mais fort considérable ."
force,strength,"Faculté naturelle d ’ agir vigoureusement , en particulier en parlant de l ’ homme et des animaux ."
force,strength,"Aptitude à réfléchir , à concevoir , à produire , en parlant de l ’ esprit , de l ’ imagination , du génie ,"
force,strength,"Habileté , talent , expérience qu ’ on a dans un art , dans un exercice , ; et , en général , ensemble des ressources dont on peut disposer , des facultés , du bien , du crédit , du pouvoir , , dont on jouit ."
force,strength,Énergie vitale ; vigueur .
non,no,Mot utilisé pour apporter une réponse négative . Il marque le désaccord sur une question affirmative et l ’ accord sur une question négative .
non,no,"Au sens fort , marque un refus , une opposition ."
non,no,Au contraire . — note Dans ce sens il est utilisé pour infirmer une prédication négative ou .
non,no,Qui n ’ est pas . Manque de la qualité signifiée par l ’ adjectif suivant .
point,stitch,"Action de piquer dans un tissu avec une aiguille enfilée ou résultat de cette action , piqûre ."
point,stitch,"Sorte de dentelle de fil , faite à l ’ aiguille , qui prend diverses nominations , selon les lieux où se font les différentes espèces de cette dentelle , la manière dont elles sont faites , ou les personnes qui les ont mises en vogue ."
point,stitch,"Parquet en <concept> de Hongrie , parquet dont les lames sont disposées en rangs obliques ."
point,stitch,"Petit trou qu ’ on fait à des courroies , à des étrivières pour y passer l ’ ardillon ."
date,date,"Indication du temps où une lettre a été écrite , où un acte a été passé ,"
date,date,Lieu où un document a été produit .
date,date,"par ext Moment où un événement a eu lieu ou doit avoir lieu , indication de cette époque ."
date,date,"par ext Indique la temporalité , dans le passé , sans plus de précision ."
came,cam,Organe mécanique permettant de transformer un mouvement de rotation en mouvement de translation ou de rotation .
information,information,Action d ’ informer autrui ou de s ’ informer .
information,information,"particulier Recherche que l ’ on fait pour s ’ assurer de la vérité d ’ une chose , pour connaître la conduite , les mœurs d ’ une personne , — note Il s ’ emploie généralement au pluriel ."
information,information,par ext Tout média qui apporte des informations .
information,information,particulier Journal télévisé ou journal radiodiffusé .
case,hut,"Petite habitation sommaire et traditionnelle , sous les tropiques ."
case,hut,"Sous les tropiques , maison ou habitation de taille variable ."
case,hut,"Compartiment d ’ un casier , d ’ une boîte , d ’ un tiroir , d ’ une bibliothèque , d ’ une consigne ,"
case,hut,"par ext Subdivision dans un registre , un formulaire ou dans un tableau , formées par les lignes qui coupent les colonnes transversalement ; endroit délimité sur un plateau de jeu ."
go,go,Jeu de stratégie d ’ origine chinoise et qui se joue à deux joueurs .
go,go,Langage de programmation développé par Google .
go,go,Top départ .
front,forehead,Partie du visage qui est comprise entre la racine des cheveux et les sourcils .
front,forehead,par ext Tout le visage .
front,forehead,Devant de la tête de quelques animaux .
front,forehead,"La tête ; pour exprimer l ’ humiliation , l ’ abaissement , la servitude , ou la fierté , la révolte ,"
section,section,"Action de couper , de diviser ou résultat de cette action ."
