la,la,syllable used in solfège to represent the sixth note of a major scale
en,enne,A unit of measurement equal to half an em .
en,enne,Used in various phrases borrowed from French or formed as if borrowed from French .
en,enne,most dialects in ; into
en,enne,... niet } } not
pour,verser,"To cause to flow in a stream , as a liquid or anything flowing like a liquid , either out of a vessel or into it ."
pour,verser,To send forth as in a stream or a flood ; to emit ; to let escape freely or wholly .
pour,verser,"To send forth from , as in a stream ; to discharge uninterruptedly ."
pour,verser,"To flow , pass or issue in a stream ; to fall continuously and abundantly"
son,fils,One s male offspring .
son,fils,A male adopted person in relation to his adoption parents .
son,fils,A male person who has such a close relationship with an older or otherwise more authoritative person that he can be regarded as a son of the other person .
son,fils,A male person considered to have been significantly shaped by some external influence .
plus,plus,being positive rather than negative or zero
plus,plus,"positive , involving advantage"
plus,plus,physics : electrically positive
the,le,having a strong and fragrant smell
on,sur,positioned at the upper surface of
on,sur,touching ; hanging from
on,sur,dealing with the subject of
of,moins,"From , off . from the 9th c ."
of,moins,"Since , from . from the 9th c ."
of,moins,"From , away from . from the 10th c ."
of,moins,Before ; from the 19th c .
site,site,The place where anything is fixed ; situation ; local position
site,site,A place fitted or chosen for any certain permanent use or occupation
site,site,The posture or position of a thing .
site,site,"A computer installation , particularly one associated with an intranet or internet service or telecommunications ."
and,et,To breathe ; whisper ; devise ; imagine .
and,et,act of giving
and,et,Salaca to give
and,et,a duck waterbird
pendant,pendentif,A supporting post attached to the main from 14th c .
pendant,pendentif,Testicles . 15th-17th c .
pendant,pendentif,"A piece of jewellery which hangs down as an ornament , especially worn on a chain around the from 15th c ."
pendant,pendentif,"A short rope hanging down , used to attach hooks for tackles ; a from 15th c ."
si,si,seventh note of a major scale
new,nouveau,"Recently made , or created ."
new,nouveau,Additional ; recently discovered .
new,nouveau,"Current or later , as opposed to former ."
new,nouveau,"Used to distinguish something established more recently , named after something or some place previously existing ."
date,dater,to note the time of writing or executing
date,dater,to become old
date,dater,to determine the age of something
or,or,of yellow <concept> gold tincture on a coat of arms
points,aiguillage,Movable rails which can be used to switch a train from one railway track to another .
points,aiguillage,"The two metal surfaces in a distributor which close or open to allow current to flow or not through the ignition coil . Each surface is called a point singular , but they re made together in a unit and serviced or replaced that way and are hence normally called points plural ."
points,aiguillage,moveable rails used to switch a train from one track to another
point,pointer,to extend finger
car,voiture,"A wheeled vehicle that moves independently , with at least three wheels , powered mechanically , steered by a driver and mostly for personal transportation ; a motorcar or automobile ."
car,voiture,"A wheeled vehicle , drawn by a horse or other animal ; a chariot ."
car,voiture,An unpowered unit in a railroad train .
car,voiture,"an individual vehicle , powered or unpowered , in a multiple unit ."
from,de,With the source or provenance of or at .
from,de,"With the origin , starting point or initial reference of or at ."
from,de,Denoting a subtraction operation .
from,de,"With the separation , exclusion or differentiation of ."
an,un,"The first letter of the Georgian alphabet , , or ."
an,un,In each ; to or for each ; per .
an,un,local on ; upon ; at ; in ; against
an,un,by ; near ; close to ; next to
dit,ti,spoken representation of a dot in radio and telegraph Morse code
but,sauf,"Without , apart from , except ."
but,sauf,goal result one is attempting to achieve
but,sauf,The outer room of a small two-room cottage .
but,sauf,"solely , only , merely"
nous,nous,"The mind or intellect , reason , both rational and emotional"
nous,nous,"In Neoplatonism , the divine reason , regarded as first divine emanation ."
nous,nous,Common sense ; practical intelligence .
nous,nous,"The <concept> , reason in philosophy ."
font,fonte,A receptacle in a church for holy water - especially one used in baptism
font,fonte,A receptacle for oil in a lamp .
font,fonte,"spring , source , fountain"
font,fonte,"A set of glyphs of unified design , belonging to one typeface , style , and weight . Usually representing the letters of an alphabet and its supplementary characters ."
cause,causer,to set off an event or action
dire,funeste,Warning of bad consequences : ; portentous .
dire,funeste,"Requiring action to prevent bad consequences : urgent , pressing ."
dire,funeste,Expressing bad consequences : dreadful ; dismal ; horrible ; terrible ; lamentable .
dire,funeste,"Bad in quality , awful , terrible ."
at,à,In or very near a particular place .
at,à,Indicating occurrence in an instant of time or a period of time relatively short in context or from the speaker s perspective .
at,à,In the direction of .
at,à,Denotes a price .
world,monde,Human collective existence ; existence in general .
world,monde,"A planet , especially one which is inhabited or inhabitable ."
world,monde,"Any other astronomical body which many be inhabitable , such as a natural satellite ."
world,monde,A very large extent of country .
for,pour,over a period of time
for,pour,"directed at , intended to belong to"
for,pour,in the direction of : marks a point one is going toward
no,non,a vote not in favor
no,non,a negating expression
important,important,Having relevant and crucial value .
important,important,having relevant and crucial value
possible,possible,Able but not certain to happen ; neither inevitable nor impossible .
possible,possible,Capable of being done or achieved ; feasible .
possible,possible,"Being considered , e.g. for a position ."
possible,possible,"Apparently valid , likely , plausible ."
section,sectionner,to commit to mental hospital
ex,ixe,To delete ; to cross out
ex,ixe,"A former partner or spouse , usually short for ex-girlfriend , ex-boyfriend , ex-wife or ex-husband ."
ex,ixe,"colloquial <concept> ex-husband , ex-wife or ex-partner"
ex,ixe,"+ ablative out of , from"
unique,unique,"Being the only one of its kind ; unequaled , unparalleled or unmatched ."
unique,unique,"Of a feature , such that only one holder has it ."
unique,unique,"Of a rare quality , unusual ."
unique,unique,one of a kind
information,renseignement,Things that are or can be known about a given topic ; communicable knowledge of from 14th c .
information,renseignement,The act of informing or imparting knowledge ; from 14th c .
information,renseignement,"A statement of criminal activity brought before a judge or magistrate ; in the UK , used to inform a magistrate of an offence and request a warrant ; in the US , an accusation brought before a judge without a grand jury from 15th c ."
information,renseignement,"The act of informing against someone , passing on incriminating knowledge ; accusation . 14th-17th c ."
large,grand,Of considerable or relatively great size or extent .
large,grand,Full in statement ; diffuse ; profuse .
large,grand,Unrestrained by decorum ; said of language .
large,grand,"Crossing the line of a ship s course in a favorable direction ; said of the wind when it is abeam , or between the beam and the quarter ."
page,convoquer,call or summon
page,convoquer,contact by means of a pager
me,me,with accompanied by
me,me,with by means of
me,me,"insufficient , scanty , not full"
me,me,Latin script ] ] letter B / b .
don,mettre,"A university professor , particularly one at Oxford or Cambridge ."
don,mettre,A mafia boss .
don,mettre,"To put on , to dress in ."
don,mettre,"in Italian environment Originally a title of honour of the Pope , later used for all priests and later for aristocrats ."
man,mec,An adult male human .
man,mec,All human males collectively : mankind .
man,mec,"A human , a person of either gender , usually an adult ."
man,mec,"All humans collectively : mankind , humankind , humanity ."
final,dernier,A <concept> examination ; a test or examination given at the end of a term or class ; the test that concludes a class .
final,dernier,"The last round , game or match in a contest , after which the winner is determined ."
final,dernier,"A contest that narrows a field of contestants to ranked positions , usually in numbered places or a winner and numbered runners-up ."
final,dernier,"The <concept> part of a syllable , the combination of medial and rime in phonetics and phonology ."
us,nous,plurale tantum mores ; traditional practices or manners
us,nous,tradition or custom
us,nous,objective case of & quot ; we & quot ;
rend,rompre,To separate into parts with force or sudden violence ; to tear asunder ; to split ; to burst
rend,rompre,To part or tear off forcibly ; to take away by force .
rend,rompre,To be rent or torn ; to become parted ; to separate ; to split .
rend,rompre,"to run , hurry"
via,via,as per ( a mathematical equation )
via,via,by ( means of ) ; using ( a medium )
mi,mi,third note of a major scale
certain,certain,having been determined but not specified
value,valeur,The quality that renders something desirable or valuable .
value,valeur,The degree of importance given to something .
value,valeur,"That which is valued or highly esteemed , as one s morals , morality , or belief system ."
value,valeur,The amount that is considered to be a fair equivalent for something else .
suit,convenir,"to agree , accord , be fitted to"
suit,convenir,"to please , to make content"
do,do,A syntactic marker
do,do,A syntactic marker in a question whose main verb is not another auxiliary verb or be .
do,do,A syntactic marker in negations with the indicative and imperative moods .
do,do,"A syntactic marker for emphasis with the indicative , imperative , and subjunctive moods ."
width,largeur,The state of being wide .
width,largeur,The measurement of the extent of something from side to side .
width,largeur,"A piece of material measured along its smaller dimension , especially fabric ."
width,largeur,The horizontal distance between a batsman and the ball as it passes him .
with,avec,"In the company of ; alongside , close to ; near to ."
with,avec,In addition to ; as an accessory to .
with,avec,"Used to indicate simultaneous happening , or immediate succession or consequence ."
with,avec,In support of .
importance,importance,quality or condition of being important or worthy of note
ma,maman,Mooring Dialect with
ma,maman,Third-person singular present indicative form of .
ma,maman,"land , country , region"
ma,maman,"to stand , to be standing"
all,tout,everything possible
miss,mademoiselle,unmarried woman
by,côté,Near or next to .
by,côté,"At some time before , or before the end of a given time interval ."
by,côté,Indicates the actor in a clause with its verb in the passive voice : Through the action or presence of .
by,côté,Indicates the creator of a work : Existing through the authorship etc. of .
my,mon,The Greek letter μ
my,mon,belonging to me
web,réseau,The silken structure which a spider builds using silk secreted from the spinnerets at the caudal tip of its abdomen ; a spider s web
web,réseau,"Any interconnected set of persons , places , or things , which when diagrammed resembles a spider s web ."
web,réseau,"Specifically , the World Wide <concept> ."
web,réseau,"The part of a baseball mitt between the forefinger and thumb , the webbing . A baseball glove , with a web between the thumb and forefinger"
it,il,One who is neither a he nor a she ; a creature ; a dehumanized being .
it,il,The person who chases and tries to catch the other players in the playground game of tag .
it,il,The game of tag .
it,il,"sex appeal , especially that which goes beyond beauty ."
cent,cent,A subunit of currency equal to one-hundredth of the main unit of currency in many countries . Symbol : ¢ .
cent,cent,A small sum of money .
cent,cent,A subunit of currency equal to one-hundredth of the euro .
cent,cent,A coin having face value of one cent .
is,est,Forms the perfect passive voice when followed by a past participle
is,est,"ice , ice cream"
is,est,"also , too , as well"
big,grand,"Of great size , large ."
big,grand,Thought to have undue influence .
big,grand,Important or significant .
big,grand,"Mature , conscientious , principled ."
former,précédent,"first of aforementioned two items First of aforementioned two items . Used with the , often without a noun ."
former,précédent,Someone who forms something ; a maker ; a creator or founder .
former,précédent,"An object used to form something , such as a template , gauge , or cutting die ."
former,précédent,"Someone in , or of , a certain form ."
young,petit,offspring ( plural )
aura,aura,Distinctive atmosphere or quality associated with something .
aura,aura,An invisible force surrounding a living creature .
aura,aura,Perceptual disturbance experienced by some migraine sufferers before a migraine headache .
aura,aura,Telltale sensation experienced by some people with epilepsy before a seizure .
comment,commenter,A spoken remark .
comment,commenter,A remark in source code which does not affect the behavior of the program .
comment,commenter,To make remarks or notes .
comment,commenter,To insert comments into .
show,émission,broadcast program ( me )
show,émission,demonstration
test,tester,to challenge
