radiculaire	radicular
coronal	coronal
distinction	distinction
incapacité	incapacity
ancre	anchor
salir	besmirch
resvératrol	resveratrol
correspondant	corresponding
filon	lode
condensateur	capacitor
biliverdine	biliverdin
iranologue	iranologist
douer	endow
ombilical	navel
extensible	extensible
dédaigner	disdain
aleph	aleph
saint	sanctify
essieu	axle
pronostiquer	forecast
produit	convenience
autoritaire	authoritarian
syndicalisme	syndicalism
héliomètre	heliometer
hydrophobe	hydrophobic
bighorn	bighorn
poids	measure
susdit	abovementioned
abimer	ruin
castration	castration
fasce	fess
revue	magazine
récapitulatif	recapitulation
grincheux	cranky
innéisme	innatism
flegmatique	phlegmatic
sectarisme	bigotry
démangeaison	itch
synagogue	synagogue
études	study
décrochage	stall
neiger	snow
lev	lev
atrocité	atrocity
abat	giblet
horde	horde
millilitre	millilitre
convoquer	summon
cauri	cowry
librement	freely
grillage	grate
flexionnel	inflectional
syntaxe	syntax
granularité	granularity
comportement	creature
indy	indy
glotte	glottis
imaginatif	imaginative
cadastre	cadastre
testabilité	testability
discussion	discussion
immergé	immersed
télex	telex
timide	timid
chaton	catkin
densité	density
arnaquer	swindle
localiser	locate
pietà	pietà
escarre	eschar
volute	volute
plasmolyse	plasmolysis
raideur	abruptness
tige	stem
spirographe	spirograph
incroyable	incredible
flétrir	wither
guanosine	guanosine
bolon	bolon
assèchement	drainage
typologique	typological
yearling	yearling
ukase	ukase
donc	ergo
furieux	livid
opium	opium
renommage	renaming
trombone	trombone
aquaculture	aquaculture
exclamation	exclamation
fécond	fertile
sinistre	claim
stabilisateur	stabilizer
intégrase	integrase
joyau	jewel
instant	moment
martèlement	hammering
platitude	platitude
serrate	serrate
erre	ar
compteur	counter
chromosphère	chromosphere
bactériologiste	bacteriologist
couverture	coverage
poussif	sluggish
buis	boxwood
incessamment	incessantly
bienveillance	benevolence
provision	provision
décrépit	decrepit
bêtement	stupidly
déclencher	release
capelan	capelin
faiblement	weakly
obligatoire	compulsory
vaciller	vacillate
écologisme	ecologism
affectif	affective
confectionneur	outfitter
refondation	refoundation
scélérat	scoundrel
saisir	grasp
femelle	female
vélin	vellum
verrue	wart
déchaîné	wild
bicarbonate	bicarbonate
triskèle	triskelion
symétrique	symmetric
vue	vista
extraordinairement	extraordinarily
mariage	matrimony
préhensile	prehensile
bigarré	variegated
mésangeai	jay
contingent	allotment
recharge	reload
ulna	ulna
soliton	soliton
démystifier	demystify
entourage	entourage
contralto	contralto
saxhorn	saxhorn
sphygmomanomètre	sphygmomanometer
affiche	poster
résorber	resorb
étincelant	glittering
censurer	censor
poïkilotherme	poikilotherm
accumuler	accumulate
nef	nave
dragonnet	dragonet
plaider	plead
inspection	audit
obscur	dense
bilinéaire	bilineal
effrayé	frightened
sensible	sensitive
conglomérat	conglomerate
république	republic
réversible	reversible
aguicheur	enticing
voix	vocal
acier	iron
habile	skilled
remboursement	refund
glyphosate	glyphosate
destinataire	addressee
pingo	pingo
plantation	plantation
vannerie	wickerwork
innovation	innovation
peinture	paint
repêchage	draft
passablement	fairly
radicelle	rootlet
poussoir	tappet
